"","GAPDH CT_avg","IL6 CT_avg","delCT"
"sample Control 1",20.7212381362915,29.2143144607544,8.49307632446289
"sample Control 2",20.8534259796143,29.1764450073242,8.32301902770996
"sample LA 16-1",20.3303937911987,29.4482717514038,9.11787796020508
"sample LA 16-2",20.3702716827393,29.4402542114258,9.06998252868652
"sample LA 2-1",19.9927711486816,28.9066352844238,8.91386413574219
"sample LA 2-2",22.9019193649292,30.8039035797119,7.90198421478271
"sample LA 4-1",20.160740852356,28.3701066970825,8.20936584472656
"sample LA 4-2",20.4897022247314,29.1991682052612,8.70946598052979
"sample LA 6-1",21.3308534622192,29.5452661514282,8.21441268920898
"sample LA 6-2",19.916449546814,28.8051738739014,8.8887243270874
"sample LA 8-1",20.8272142410278,28.0254821777344,7.19826793670654
"sample LA 8-2",19.9920082092285,28.4857807159424,8.49377250671387
"sample LN 1-1",19.8358793258667,28.8328771591187,8.99699783325195
"sample LN 1-2",22.9338693618774,31.6362638473511,8.70239448547363
"sample LN 10-1",25.8006935119629,33.4304847717285,7.62979125976562
"sample LN 10-2",21.8819532394409,30.9548215866089,9.07286834716797
"sample LN 2.5-2",22.1966991424561,31.060133934021,8.86343479156494
"sample LN 2.5 -1",21.2558689117432,28.6403322219849,7.3844633102417
"sample LN 20-1",19.9670753479004,29.0084257125854,9.04135036468506
"sample LN 20-2",20.1247205734253,29.1402492523193,9.01552867889404
"sample LN 5-1",21.1099128723145,30.0595359802246,8.94962310791016
"sample LN 5-2",23.5603017807007,32.2424945831299,8.6821928024292
"sample water",NA,NA,NA
